;Pays;Intitule Typologie 1;Question 3 : Y a  t il un sentiment de colere;bin_emotion_T5;Duree_traitement;size_texte;Date de premiere réponse;Prediction
1089;France;ANTAI;1;1;44;2342;21/09/2020;0
1090;France;ANTS;1;0;-80;297;20/08/2020;0
1092;France;Service des Impôts des particuliers;1;0;-82;694;18/08/2020;0
1094;France;ANTS;0;1;-110;1333;20/08/2020;0
1096;France;ANTS;1;0;7;538;20/08/2020;0
1097;France;ANTS;0;0;7;255;20/08/2020;0
1098;France;ANTS;1;0;7;296;20/08/2020;0
1099;France;ANTS;1;1;6;1434;20/08/2020;0
1100;France;ANTS;1;0;5;504;20/08/2020;0
1101;France;Brigade de gendarmerie;0;0;-191;450;09/02/2020;0
1102;France;ANTS;1;1;8;103;26/08/2020;0
1103;France;CAF;1;1;7;292;25/08/2020;0
1104;France;ANTS;1;1;4;797;26/08/2020;0
1105;France;ANTS;1;0;4;255;26/08/2020;0
1106;France;ANTS;1;0;3;412;26/08/2020;0
1107;France;ANTS;1;0;4;1110;28/08/2020;0
1108;France;ANTS;1;0;3;1800;28/08/2020;0
1109;France;ANTS;1;0;2;869;28/08/2020;0
1110;France;Brigade de gendarmerie;0;0;-19;256;09/08/2020;0
1111;France;ANTS;1;0;2;365;31/08/2020;0
1112;France;Brigade de gendarmerie;0;0;-52;546;09/07/2020;0
1114;France;Services Publics +;1;1;31;443;09/02/2020;0
1117;France;ANTS;0;0;0;248;09/03/2020;0
1120;France;Brigade de gendarmerie;0;0;122;259;09/08/2020;0
1121;France;Brigade de gendarmerie;0;1;92;656;09/08/2020;0
1124;France;ANTS;1;1;30;1088;09/10/2020;0
1125;France;Caisse régionale URSSAF;1;1;80;356;28/12/2020;0
1126;France;Services Publics +;1;1;6;204;21/09/2020;0
1127;France;ANTS;0;0;5;230;21/09/2020;0
1128;France;Carsat;1;0;3;1175;21/09/2020;0
1129;France;ANTS;0;0;3;267;21/09/2020;0
1130;France;Brigade de gendarmerie;0;0;6;411;24/09/2020;0
1132;France;ANTS;0;0;3;246;24/09/2020;0
1133;France;stationnement.gouv.fr;1;1;275;587;24/06/2021;0
1135;France;Carsat;1;0;2;292;24/09/2020;0
1136;France;COMMISSARIAT DE POLICE;0;1;-257;797;10/01/2020;0
1137;France;Carsat;1;0;23;2648;16/10/2020;0
1138;France;ANTS;1;1;2;270;25/09/2020;0
1139;France;Carsat;1;0;4;817;28/09/2020;0
1140;France;Brigade de gendarmerie;0;1;4;522;28/09/2020;0
1141;France;ANTS;0;0;4;899;28/09/2020;0
1142;France;Impots.gouv.fr;0;0;274;316;25/06/2021;0
1143;France;ANTS;0;0;5;385;30/09/2020;0
1144;France;CNAV;1;0;21;968;16/10/2020;0
1145;France;ANTS;1;1;1;424;28/09/2020;0
1146;France;ANTS;1;1;1;616;28/09/2020;0
1148;France;Amendes.gouv.fr;1;1;-230;529;10/02/2020;0
1150;France;ANTS;1;0;1;1899;30/09/2020;0
1151;France;ANTS;1;0;1;188;30/09/2020;0
1153;France;Brigade de gendarmerie;0;0;14;205;14/10/2020;0
1154;France;ANTS;0;0;0;58;10/01/2020;0
1155;France;ANTS;0;0;31;284;10/02/2020;0
2148;France;Carsat;0;0;14;192;19/08/2021;0
2150;France;Carsat;0;0;61;213;05/11/2021;0
2152;France;Carsat;1;1;-102;944;26/05/2021;0
2153;France;Service des Impôts des particuliers;1;0;-97;400;31/05/2021;0
2154;France;Carsat;0;0;-68;93;29/06/2021;0
2155;France;Carsat;0;0;31;1025;05/11/2021;0
2156;France;ANTS;0;0;0;1166;05/10/2021;0
2157;France;Carsat;0;0;61;378;05/12/2021;0
2158;France;Info Retraite;1;1;-138;514;20/05/2021;0
2159;France;Carsat;0;0;61;242;05/12/2021;0
2160;France;Carsat;0;0;-140;371;18/05/2021;0
2161;France;Carsat;0;0;61;109;05/12/2021;0
2162;France;Carsat;0;0;-137;610;21/05/2021;0
2163;France;COMMISSARIAT DE POLICE;1;1;49;1073;23/11/2021;0
2164;France;Carsat;0;0;-131;589;27/05/2021;0
2165;France;Carsat;1;0;-139;526;19/05/2021;0
2166;France;Caisse régionale URSSAF;0;0;-138;200;20/05/2021;0
2167;France;Carsat;0;0;-140;227;18/05/2021;0
2168;France;Carsat;0;1;-140;857;18/05/2021;0
2170;France;Carsat;0;0;-162;521;27/05/2021;0
2173;Afghanistan;Carsat;1;1;-171;1054;18/05/2021;0
2176;France;Carsat;0;1;-122;188;06/07/2021;0
2177;France;CAF;1;0;-30;1812;06/10/2021;0
2180;France;Carsat;1;1;-202;142;17/05/2021;0
2181;France;Carsat;0;0;-108;172;19/08/2021;0
2182;France;Carsat;1;1;-199;919;20/05/2021;0
2183;France;MTE-MCTRCT;0;1;-329;437;10/01/2021;0
2184;France;Carsat;0;0;-243;511;06/04/2021;0
2185;France;Carsat;0;0;-202;324;17/05/2021;0
2186;France;Carsat;0;0;-200;456;19/05/2021;0
2188;Afghanistan;Carsat;0;0;-199;467;20/05/2021;0
2189;France;Franceconnect;0;0;8;334;21/05/2021;0
2191;France;Carsat;1;0;4;315;17/05/2021;0
2192;France;CAF;0;1;85;928;06/08/2021;0
2193;France;CNAV;0;0;-127;732;06/01/2021;0
2194;France;Franceconnect;1;0;32;84;14/06/2021;0
2195;France;Carsat;1;0;47;1249;29/06/2021;0
2196;France;CPAM;1;0;46;400;28/06/2021;0
2197;France;Carsat;0;0;7;424;20/05/2021;0
2198;France;Carsat;1;0;8;84;21/05/2021;0
2199;France;Carsat;0;0;8;88;21/05/2021;0
2200;France;Carsat;1;0;14;850;27/05/2021;0
2201;France;Réseau consulaire;1;0;98;2103;19/08/2021;0
2202;France;Carsat;0;0;7;360;21/05/2021;0
2206;France;Signalement.gouv;1;0;4;276;18/05/2021;0
2207;France;Carsat;1;0;7;694;21/05/2021;0
2209;France;Franceconnect;1;1;-128;731;06/01/2021;0
2210;France;Carsat;0;1;6;342;21/05/2021;0
2728;France;Services Publics +;0;1;92;332;07/08/2021;0
2730;France;Carsat;1;0;53;107;30/07/2021;0
2732;France;CPAM;1;0;1;56;08/06/2021;0
2734;France;CAF;1;0;61;950;07/08/2021;0
2735;France;Réseau des rectorats et DSDEN;1;0;44;644;21/07/2021;0
2736;France;Service des Impôts des particuliers;1;1;30;329;07/07/2021;0
2737;France;Carsat;0;0;36;625;13/07/2021;0
2738;France;Service des Impôts des particuliers;0;1;183;1143;07/12/2021;0
2739;France;Carsat;1;0;61;655;07/08/2021;0
2740;France;Région de Gendarmerie;0;0;62;329;07/09/2021;0
2741;France;ANTS;0;0;153;154;07/12/2021;0
2742;France;Carsat;1;1;70;647;15/09/2021;0
2743;France;Carsat;1;0;18;779;25/08/2021;0
2744;France;Carsat;1;0;-16;761;22/07/2021;0
2745;France;Centre national CESU;1;0;40;143;16/09/2021;0
2746;France;Carsat;0;0;31;440;07/09/2021;0
2747;France;CROUS;1;1;-177;3712;11/02/2021;0
2748;France;Carsat;1;0;0;275;07/09/2021;0
2749;France;Carsat;1;1;-54;117;15/07/2021;0
2750;France;Carsat;0;0;0;1010;07/09/2021;0
2752;France;Carsat;1;1;-54;647;15/07/2021;0
2755;France;Assurance retraite Ile de France;1;0;-12;1842;26/08/2021;1
2758;France;ANTS;0;0;-86;454;13/07/2021;0
2759;France;Carsat;1;0;32;353;08/11/2021;0
2762;France;Carsat;1;0;-43;235;25/08/2021;0
2763;France;Carsat;1;1;-111;659;19/07/2021;0
2764;France;Carsat;1;1;30;535;07/12/2021;0
2765;France;Carsat;0;0;-115;140;15/07/2021;0
2766;France;CNAM;1;1;-117;104;13/07/2021;0
2767;France;Carsat;1;0;-114;322;16/07/2021;0
2768;France;Carsat;1;0;-104;2160;25/08/2021;0
2770;France;Defenseur des droits;1;1;-8;1160;29/11/2021;0
2771;France;Service des Impôts des particuliers;1;1;-145;495;15/07/2021;0
2773;France;Franceconnect;1;0;-145;1656;15/07/2021;0
2774;France;Carsat;0;0;34;200;16/08/2021;0
2775;France;CNAM;1;0;6;381;19/07/2021;0
2776;France;POLE EMPLOI;1;0;10;1251;23/07/2021;0
2777;France;CNAM;1;0;6;196;19/07/2021;0
2778;France;Carsat;1;1;2;502;15/07/2021;0
2779;France;AGIRC-ARRCO;0;0;132;463;22/11/2021;0
2780;France;Carsat;1;1;44;1239;26/08/2021;0
2781;France;CPAM;1;0;2;528;15/07/2021;0
2782;France;Franceconnect;0;0;2;384;15/07/2021;0
2783;France;Carsat;1;0;7;366;20/07/2021;0
2784;France;Mesdroitssociaux.gouv.fr;0;0;87;649;08/10/2021;0
2788;France;Carsat;1;1;7;519;20/07/2021;0
2789;France;Carsat;1;1;7;1641;20/07/2021;0
2791;Afghanistan;Carsat;1;0;42;2736;25/08/2021;0
2792;France;Services Publics +;0;1;13;435;27/07/2021;0
2793;France;Service des Impôts des particuliers;1;1;14;2149;28/07/2021;0
2795;France;Carsat;1;1;5;1525;20/07/2021;0
2797;France;Franceconnect;0;0;0;1387;15/07/2021;0
2799;France;Carsat;1;1;0;683;15/07/2021;0
2800;France;Assurance retraite Ile de France;1;1;42;754;26/08/2021;1
2801;France;CAF;1;1;32;215;16/08/2021;0
2802;France;Assurance retraite Ile de France;1;0;42;1964;26/08/2021;1
2803;France;ANTS;1;0;-37;1625;08/06/2021;0
2804;France;ANTS;1;1;5;2278;20/07/2021;0
2805;France;Assurance retraite Ile de France;1;0;41;222;26/08/2021;1
2806;France;COMMISSARIAT DE POLICE;0;1;3;695;19/07/2021;0
2807;France;Pré-plainte en ligne (PPEL);1;1;3;235;19/07/2021;0
2808;France;ETABLISSEMENT HOSPITALIER;1;0;3;1357;19/07/2021;0
2809;France;Service des Impôts des particuliers;1;1;3;3647;19/07/2021;0
2810;France;Carsat;1;0;41;1252;26/08/2021;0
2811;France;CPAM;0;0;0;847;16/07/2021;0
2812;France;Carsat;1;0;7;884;23/07/2021;0
2813;France;CPAM;0;0;4;470;20/07/2021;0
2814;France;Info Retraite;1;1;6;815;22/07/2021;0
2815;France;Franceconnect;1;1;3;449;20/07/2021;0
2817;France;CNAM;1;0;2;305;19/07/2021;0
2820;France;Carsat;1;0;11;859;29/07/2021;0
2823;France;Carsat;1;1;38;1281;26/08/2021;0
2824;France;Carsat;1;1;3;505;22/07/2021;0
2827;France;CAF;1;0;3;99;22/07/2021;0
2828;France;COMMISSARIAT DE POLICE;1;0;9;145;29/07/2021;0
2829;France;Maprim'renov;1;1;21;2335;10/08/2021;1
2830;France;Carsat;0;0;-162;545;08/02/2021;0
2831;France;CAF;1;0;3;1384;23/07/2021;0
2832;France;Franceconnect;0;1;2;487;22/07/2021;0
2833;France;CNAM;1;0;2;139;22/07/2021;0
2835;France;Trésorerie amendes;1;1;-133;543;09/03/2021;0
2836;France;CAF;1;1;1;823;21/07/2021;0
2838;France;Préfecture;1;0;2;1006;22/07/2021;0
2839;France;Franceconnect;1;1;2;773;22/07/2021;0
2840;France;Services Publics +;0;0;3;1785;23/07/2021;0
2841;France;Carsat;1;0;36;439;26/08/2021;0
2842;France;ANTS;1;0;1;207;22/07/2021;0
2843;France;Services Publics +;1;1;1;1973;22/07/2021;0
2844;France;ANAH;1;1;-134;2303;09/03/2021;0
2845;France;Maprim'renov;1;1;20;1596;10/08/2021;1
2846;France;ANTS;1;1;1;929;22/07/2021;0
2847;France;Carsat;0;0;1;386;22/07/2021;0
2848;France;Maprim'renov;1;0;-134;920;09/03/2021;1
2849;France;CGSS Assurance Maladie;1;0;1;527;22/07/2021;0
2853;France;CNAM;1;1;0;604;22/07/2021;0
2854;France;Service des Impôts des particuliers;1;0;0;416;22/07/2021;1
2856;France;Carsat;0;0;-44;454;08/06/2021;0
2857;France;COMMISSARIAT DE POLICE;0;1;7;421;29/07/2021;0
2858;France;COMMISSARIAT DE POLICE;1;0;-43;1114;09/06/2021;0
2860;France;Carsat;1;0;7;563;29/07/2021;0
2862;France;CPAM;0;0;0;2045;23/07/2021;0
2864;France;Carsat;0;0;5;152;28/07/2021;0
2865;France;Carsat;1;0;3;1388;26/07/2021;0
2866;France;Maprim'renov;1;1;-136;1124;09/03/2021;1
2867;France;CPAM;1;0;5;855;28/07/2021;0
2868;France;Carsat;1;1;77;1510;08/10/2021;0
2869;France;Carsat;0;0;5;224;28/07/2021;0
2870;France;CNAM;0;1;5;339;28/07/2021;0
2871;France;Carsat;1;0;-165;337;08/02/2021;0
2872;France;Assurance retraite Ile de France;1;0;34;113;26/08/2021;1
2873;France;ANTS;0;1;5;391;28/07/2021;0
2874;France;Assurance retraite Ile de France;1;0;33;592;26/08/2021;1
2875;France;Casier judiciaire national;1;0;-45;478;09/06/2021;0
2876;France;Carsat;0;0;2;173;27/07/2021;0
2877;France;CNAM;1;1;3;426;28/07/2021;0
2878;France;Chèque énergie;1;0;37;741;31/08/2021;0
2879;France;Assurance retraite Ile de France;1;1;32;177;26/08/2021;1
2880;France;Ville - Commune;1;0;3;891;28/07/2021;0
2882;France;Carsat;1;1;1;458;27/07/2021;0
2885;France;CPAM;1;0;2;2246;28/07/2021;0
2888;France;Carsat;0;1;4;586;30/07/2021;0
2889;France;Assurance retraite Ile de France;1;1;24;2361;19/08/2021;1
2892;France;Amendes.gouv.fr;1;1;137;386;11/12/2021;0
2893;France;Assurance retraite Ile de France;1;0;30;550;26/08/2021;1
2894;France;Carsat;0;0;2;1342;29/07/2021;0
2895;France;Carsat;0;0;2;583;29/07/2021;0
2896;France;Trésorerie;1;1;137;871;11/12/2021;0
2897;France;Carsat;0;0;2;125;29/07/2021;0
2898;France;Carsat;0;0;2;75;29/07/2021;0
2900;France;AGENCE POLE EMPLOI (APE);1;0;-110;1625;08/04/2021;0
2901;France;Franceconnect;1;1;-141;1157;08/03/2021;0
2903;France;Carsat;1;0;2;993;29/07/2021;0
2904;France;Moncommissariat.fr;0;0;74;692;09/10/2021;0
2905;France;Carsat;1;0;2;402;29/07/2021;0
2906;France;Carsat;0;0;1;557;29/07/2021;0
2907;France;France services;0;0;47;296;13/09/2021;0
2908;France;Assurance retraite Ile de France;1;0;29;866;26/08/2021;1
2909;France;Carsat;0;0;1;170;29/07/2021;0
2910;France;Agence de services et de paiement (ASP);0;0;-170;382;08/02/2021;0
2911;France;Carsat;0;1;2;251;30/07/2021;0
2912;France;Moncommissariat.fr;0;1;-142;185;08/03/2021;0
2913;France;ANAH;1;1;13;1118;10/08/2021;0
2914;France;CNAM;0;0;-143;104;08/03/2021;0
2918;France;ANTS;1;1;0;464;30/07/2021;0
2919;France;Service des Impôts des particuliers;1;0;31;318;30/08/2021;0
2921;France;Direction régionale DR;0;0;19;140;18/08/2021;0
2922;France;Région de Gendarmerie;1;0;-172;618;08/02/2021;0
2923;France;Service des Impôts des particuliers;0;0;-21;659;09/07/2021;0
2925;France;Carsat;0;0;-173;807;08/02/2021;0
2927;France;COMMISSARIAT DE POLICE;1;0;-52;883;09/06/2021;0
2929;France;Carsat;0;0;28;406;08/03/2021;0
2930;France;Carsat;0;0;28;361;08/03/2021;0
2931;France;Préfecture;1;0;28;442;08/03/2021;0
2932;France;ANAH;1;1;183;1620;10/08/2021;0
2933;France;Carsat;0;0;28;138;08/03/2021;0
2934;France;Impots.gouv.fr;0;1;278;291;11/12/2021;0
2935;France;Service des Impôts des entreprises;0;0;278;322;11/12/2021;0
2936;France;Trésorerie amendes;0;0;278;1394;11/12/2021;0
2937;France;Démarches simpliées;1;0;245;1281;08/11/2021;0
2938;France;Carsat;0;0;61;364;08/05/2021;0
2939;France;Réseau hors réseau;1;1;93;541;09/06/2021;0
2940;France;Carsat;1;1;158;2326;13/08/2021;0
2941;France;Moncommissariat.fr;0;0;184;200;09/10/2021;0
2942;France;MSA;1;1;131;370;17/08/2021;0
2943;France;Services Publics +;1;0;183;392;08/10/2021;0
2944;France;MSA;1;0;129;271;14/09/2021;0
2945;France;Service des Impôts des particuliers;1;0;0;1279;08/05/2021;1
2947;France;PREFECTURE DE POLICE DE PARIS;1;0;173;655;28/10/2021;0
2950;France;CNAM;1;1;0;445;08/06/2021;0
2953;France;CAF;0;0;122;198;08/10/2021;0
2954;France;Direction régionale DR;0;0;71;389;18/08/2021;0
2957;France;Amendes.gouv.fr;1;0;92;567;08/10/2021;0
2958;France;Impots.gouv.fr;1;0;92;742;08/10/2021;0
2959;France;Ministère de l’Europe et des Affaires étrangères (MEAE);1;1;195;1780;19/01/2022;0
2960;France;Franceconnect;0;0;92;529;08/10/2021;0
2961;France;CNAM;1;0;123;351;08/11/2021;0
2963;France;ANTS;1;1;61;507;08/11/2021;0
2965;France;Région de Gendarmerie;0;0;30;457;08/10/2021;0
2966;France;Région de Gendarmerie;0;0;30;494;08/10/2021;0
2968;France;CPAM;1;0;30;661;08/10/2021;0
2969;France;Carsat;0;0;30;566;08/10/2021;0
2970;France;Carsat;0;0;30;353;08/10/2021;0
2971;France;Service des Impôts des particuliers;1;1;-46;417;23/08/2021;0
2972;France;CNAM;1;0;31;593;08/11/2021;0
2973;France;Carsat;0;0;-51;133;18/08/2021;0
2974;France;CAF;0;0;52;73;29/11/2021;0
2975;France;Carsat;0;1;31;296;08/11/2021;0
2976;France;Service des Impôts des particuliers;1;0;-121;819;09/06/2021;0
2977;France;Carsat;0;0;31;1208;08/11/2021;0
2978;France;Bureau de douane;0;0;-82;190;18/08/2021;0
2979;France;Mesdroitssociaux.gouv.fr;1;0;30;1304;08/12/2021;0
2983;France;Services Publics +;0;0;-270;805;11/02/2021;0
2984;France;Franceconnect;1;0;30;264;08/12/2021;0
2986;France;Préfecture;1;1;-76;1097;24/08/2021;0
2987;France;COMMISSARIAT DE POLICE;0;0;-30;306;09/10/2021;0
2988;France;Carsat;0;0;-114;240;16/08/2021;0
2990;France;Carsat;0;0;3;85;16/08/2021;0
2992;France;COMMISSARIAT DE POLICE;1;1;56;870;09/10/2021;0
2994;France;Impots.gouv.fr;1;0;0;519;16/08/2021;0
2995;France;Service des Impôts des particuliers;1;1;0;804;16/08/2021;1
2996;France;Carsat;0;0;1;334;17/08/2021;0
2997;France;Service des Impôts des particuliers;1;0;-38;961;09/07/2021;0
2998;France;Carsat;0;0;1;440;17/08/2021;0
2999;France;DGFIP;0;1;2;374;19/08/2021;0
3000;France;Carsat;0;0;7;622;24/08/2021;0
3001;France;Franceconnect;1;0;7;491;24/08/2021;0
3002;France;Carsat;0;0;1;151;18/08/2021;0
3003;France;Carsat;0;0;1;100;18/08/2021;0
3004;France;Ministère de l’Europe et des Affaires étrangères (MEAE);1;0;155;667;19/01/2022;0
3005;France;Carsat;1;0;7;581;25/08/2021;0
3006;France;Assurance retraite Ile de France;1;0;8;1129;26/08/2021;1
3007;France;Carsat;0;0;1;415;19/08/2021;0
3008;France;Région de Gendarmerie;0;1;1;230;19/08/2021;0
3009;France;COMMISSARIAT DE POLICE;1;1;52;908;09/10/2021;0
3010;France;Franceconnect;1;0;3;825;22/08/2021;0
3012;France;Maprim'renov;1;0;-163;3512;09/03/2021;1
3015;France;AGENCE POLE EMPLOI (APE);1;1;1;310;20/08/2021;1
3018;France;CPAM;1;0;0;521;20/08/2021;0
3019;France;Direction régionale DR;0;0;4;189;24/08/2021;0
3022;France;Demande-logement-social.gouv.fr;1;1;94;889;25/11/2021;0
3023;France;Carsat;1;0;1;672;25/08/2021;0
3024;France;AGENCE POLE EMPLOI (APE);0;0;2;395;26/08/2021;1
3025;France;CAF;1;1;-196;723;09/02/2021;0
3026;France;France services;0;0;19;171;13/09/2021;0
3027;France;Franceconnect;1;1;1;587;26/08/2021;0
3028;France;MSA;0;0;1;385;26/08/2021;0
3030;France;Impots.gouv.fr;0;1;5;307;30/08/2021;0
3031;France;CPAM;0;0;1;87;26/08/2021;0
3033;France;CAF;1;1;2;1955;27/08/2021;0
3034;France;Assurance retraite Ile de France;1;0;-170;647;09/03/2021;1
3035;France;ANTS;0;0;5;177;31/08/2021;0
3036;France;France services;1;0;18;480;13/09/2021;0
3037;France;Assurance retraite Ile de France;1;1;-170;956;09/03/2021;1
3038;France;Impots.gouv.fr;0;0;4;46;30/08/2021;0
3039;France;Collectivités territoriales - Communes;0;0;5;1623;31/08/2021;0
3040;France;Carsat;1;1;0;380;27/08/2021;0
3041;France;COMMISSARIAT DE POLICE;1;1;4;1875;31/08/2021;0
3042;France;Impots.gouv.fr;0;0;3;773;30/08/2021;0
3043;France;CAF;0;1;4;206;31/08/2021;0
3044;France;Pôle d'action économique PAE;0;0;-79;1455;09/06/2021;0
3048;France;Moncommissariat.fr;0;1;42;234;09/10/2021;0
3049;France;CPAM;1;0;2;819;30/08/2021;0
3051;France;COMMISSARIAT DE POLICE;0;0;31;301;29/09/2021;0
3052;France;ANTS;1;0;1;1603;31/08/2021;0
3053;France;Moncommissariat.fr;1;0;72;247;10/11/2021;0
3055;France;MSA;1;0;15;280;14/09/2021;0
3059;France;Carsat;1;0;10;590;09/09/2021;0
3060;France;Assurance retraite Ile de France;1;1;-174;1603;09/03/2021;1
3061;France;Carsat;1;0;-82;447;09/06/2021;0
3062;France;Service-public.fr;1;1;-174;1949;09/03/2021;0
3063;France;Franceconnect;1;0;-234;612;09/01/2021;0
3064;France;Service des Impôts des particuliers;0;0;-203;292;09/02/2021;0
3065;France;URSSAF;1;1;-20;106;11/08/2021;0
3066;France;CPAM;0;0;-234;438;09/01/2021;0
3067;France;Franceconnect;0;0;-203;532;09/02/2021;0
3068;France;COMMISSARIAT DE POLICE;1;1;335;464;10/12/2021;0
3069;France;Carsat;1;1;335;469;10/12/2021;0
3070;France;Carsat;0;0;59;540;09/03/2021;0
3071;France;Impots.gouv.fr;1;0;120;155;09/06/2021;0
3072;France;Service des Impôts des particuliers;1;0;120;675;09/06/2021;0
3073;France;ANTS;1;1;28;733;09/03/2021;0
3074;France;Carsat;1;1;216;644;13/09/2021;0
3075;France;COMMISSARIAT DE POLICE;1;1;242;1086;09/10/2021;0
3077;France;CAF;1;0;314;541;20/12/2021;0
3080;France;Caisse régionale URSSAF;1;0;230;1022;25/10/2021;0
3083;France;Carsat;1;1;157;620;13/09/2021;0
3084;France;Brigade de gendarmerie;0;0;153;97;09/09/2021;0
3087;France;Direction régionale DR;0;0;30;806;09/07/2021;0
3088;France;Service des Impôts des particuliers;1;0;0;305;09/06/2021;1
3089;France;Région de Gendarmerie;1;1;97;640;14/09/2021;0
3090;France;Defenseur des droits;1;0;30;1541;09/07/2021;0
3091;France;ANAH;1;1;62;2784;10/08/2021;0
3092;France;Carsat;0;0;30;481;09/07/2021;0
3093;France;CNAM;0;1;61;471;09/08/2021;0
3095;France;Carsat;0;0;30;451;09/07/2021;0
3096;France;Carsat;1;1;-60;427;10/04/2021;0
3098;France;Assurance retraite Ile de France;1;1;92;2048;09/09/2021;1
3099;France;Carsat;1;0;-90;761;10/04/2021;0
3100;France;Service des Impôts des particuliers;1;1;-90;520;10/04/2021;0
3101;France;Carsat;1;0;66;601;13/09/2021;0
3102;France;CAF;1;0;31;1292;09/08/2021;0
3103;France;Carsat;0;0;62;1030;09/09/2021;0
3104;France;Carsat;0;0;-90;275;10/04/2021;0
3105;France;Assurance retraite Ile de France;1;0;62;1648;09/09/2021;1
3106;France;Carsat;0;0;66;376;13/09/2021;0
3107;France;AGIRC-ARRCO;1;0;97;514;14/10/2021;0
3108;France;ANTS;1;1;62;638;09/09/2021;0
3109;France;Carsat;1;1;66;422;13/09/2021;0
3113;France;Carsat;0;0;31;684;09/09/2021;0
3114;France;Carsat;0;0;31;222;09/09/2021;0
3116;France;Carsat;0;1;-121;504;10/04/2021;0
3117;France;CAF;0;0;61;434;09/10/2021;0
3118;France;Carsat;1;1;-121;425;10/04/2021;0
3120;France;CAF;1;0;36;3004;14/09/2021;0
3122;France;ANTS;0;0;31;935;09/09/2021;0
3124;France;Service-public.fr;1;1;127;495;14/12/2021;0
3125;France;Franceconnect;1;1;76;627;24/11/2021;0
3126;France;Service-public.fr;1;1;98;929;16/12/2021;0
3127;France;Maprim'renov;1;0;-30;661;10/08/2021;1
3128;France;Assurance retraite Ile de France;0;1;49;302;28/10/2021;1
3129;France;Assurance retraite Ile de France;0;1;49;2987;28/10/2021;1
3130;France;Service des Impôts des particuliers;1;0;41;783;20/10/2021;0
3131;France;ANTS;0;1;0;326;09/10/2021;0
3132;France;Maprim'renov;0;1;-60;543;10/08/2021;1
3133;France;Service des Impôts des particuliers;1;1;11;975;20/10/2021;0
3134;France;Assurance retraite Ile de France;1;1;19;804;28/10/2021;1
3135;France;Assurance retraite Ile de France;1;0;19;1143;28/10/2021;1
3136;France;Assurance retraite Ile de France;1;0;19;1538;28/10/2021;1
3137;France;CAF;1;1;-23;164;16/09/2021;0
3138;France;Carsat;1;0;32;655;10/11/2021;0
3139;France;ANTS;1;0;-25;1129;14/09/2021;0
3140;France;Carsat;0;0;-26;58;13/09/2021;0
3142;France;Carsat;1;1;-57;220;13/09/2021;0
3145;France;Impots.gouv.fr;1;0;-20;269;20/10/2021;0
3148;France;CPAM;1;0;-57;775;13/09/2021;0
3149;France;ANTS;1;1;-56;661;14/09/2021;0
3152;France;Carsat;1;1;-213;432;10/04/2021;0
3153;France;AGIRC-ARRCO;1;1;-26;677;14/10/2021;0
3154;France;Impots.gouv.fr;0;0;-50;184;20/10/2021;0
3155;France;Carsat;1;0;-73;864;27/09/2021;0
3156;France;Carsat;0;0;-84;962;16/09/2021;0
3157;France;Assurance retraite Ile de France;1;0;-42;1732;28/10/2021;1
3158;France;Assurance retraite Ile de France;1;0;-42;547;28/10/2021;1
3160;France;Trésorerie amendes;1;1;37;770;20/10/2021;0
3161;France;Franceconnect;1;0;73;165;25/11/2021;0
3163;France;CAF;0;0;1;248;14/09/2021;0
3164;France;Carsat;1;1;1;1367;14/09/2021;0
3165;France;CAF;0;1;1;234;14/09/2021;0
3166;France;Service des Impôts des particuliers;1;1;37;1196;20/10/2021;0
3167;France;CPAM;1;0;2;1421;15/09/2021;0
3168;France;Services Publics +;1;0;45;1321;28/10/2021;0
3169;France;ANAH;1;1;-35;789;10/08/2021;0
3170;France;Service des Impôts des entreprises;1;1;65;1702;18/11/2021;0
3171;France;Carsat;1;0;-66;2907;10/07/2021;0
3172;France;CAF;1;0;70;735;23/11/2021;0
3173;France;CAF;1;1;57;1248;10/11/2021;0
3174;France;Services Publics +;0;0;-215;262;11/02/2021;0
3178;France;Carsat;0;0;2;228;16/09/2021;0
3179;France;Franceconnect;1;0;63;1021;16/11/2021;0
3181;France;CAF;1;0;100;1218;24/12/2021;0
3182;France;Service des Impôts des particuliers;0;1;86;1180;10/12/2021;0
3183;France;Service des Impôts des particuliers;1;1;-127;5776;11/05/2021;0
3185;France;COMMISSARIAT DE POLICE;1;1;-215;876;12/02/2021;0
3187;France;Assurance retraite Ile de France;1;1;43;1105;28/10/2021;1
3189;France;Carsat;1;0;33;958;18/10/2021;0
3190;France;DGDDI;0;0;67;102;22/11/2021;0
3191;France;CPAM;1;1;-159;986;10/04/2021;0
3192;France;Carsat;0;0;33;281;19/10/2021;0
3193;France;CAF;0;1;67;850;22/11/2021;0
3194;France;Carsat;0;0;84;371;10/12/2021;0
3195;France;CNIL;1;1;33;828;20/10/2021;0
3196;France;COMMISSARIAT DE POLICE;1;1;98;837;24/12/2021;0
3197;France;ANTS;1;1;-250;892;10/01/2021;0
3198;France;Assurance retraite Ile de France;1;0;41;189;28/10/2021;1
3199;France;CROUS;1;0;-218;873;11/02/2021;0
3200;France;CROUS;1;0;-218;966;11/02/2021;0
3201;France;ANAH;1;0;-250;671;10/01/2021;0
3202;France;ANTS;1;1;101;996;28/12/2021;0
3203;France;Carsat;0;0;69;622;26/11/2021;0
3204;France;ANAH;1;0;25;544;14/10/2021;0
3205;France;MSA;1;1;63;853;22/11/2021;0
3207;France;CPAM;1;0;-163;921;10/04/2021;0
